,job_no,roles,companies,locations,experience,salaries,skills
46,47,backend developer,ibm,bengaluru,6-8 yrs,not disclosed,"algorithms,software development,enterprise applications,microservices,java,rdbms,oracle,software testing"
47,48,backend developer,ibm,bengaluru,2-4 yrs,not disclosed,"container,algorithms,hsm,linux,container orchestration,rest,kubernetes,ubuntu"
48,49,backend developer,ibm,bengaluru,1-3 yrs,not disclosed,"algorithms,software development,enterprise applications,microservices,j2ee,rdbms,oracle,software testing"
49,50,backend developer,ibm,bengaluru,1-3 yrs,not disclosed,"golang,docker,system administration,git,container orchestration,continuous integration,kubernetes,qemu"
50,51,compiler backend developer,ibm,bengaluru,3-8 yrs,not disclosed,"python,c,golang,node.js,java,mainframes,css,dbms"
51,52,backend developer,trigent software,bengaluru,5-9 yrs,not disclosed,"azure,node.js,nestjs,sql,development,microsoft azure,backend development,backend"
52,53,backend developer,jk technology services,bengaluru,1-4 yrs,not disclosed,"backend,git,web technologies,architecture,unit testing,jira,aws,microservices"
53,54,backend developer,adani group,ahmedabad,5-8 yrs,not disclosed,"django,python development,restapi,python,backend,development,rest,backend development"
54,55,backend developer,ibm,kochi,3-4 yrs,not disclosed,"software development,application development,web framework,debugging,agile methodology,rest,continuous integration,css"
55,56,backend developer,ibm,kochi,1-3 yrs,not disclosed,"software development,backend development,dbs,vector,agile,bts,css,c++"
56,57,backend developers,ibm,ahmedabad,6-10 yrs,not disclosed,"dbms,sql,java,oracle,sql server,artifactory,algorithms,kubernetes"
57,58,backend developer,drip capital,mumbai,1-3 yrs,not disclosed,",python,java,codeigniter,golangspring,backend,development,backend development"
58,59,backend developer c#,pratiti technologies,pune,2-4 yrs,not disclosed,"c#,software development,software testing,tdd,microsoft azure,software engineering,influxdb,sql"
59,60,backend developer,fusion plus solutions,hyderabad,1-4 yrs,not disclosed,"kubernetes,continuous integration,aws iam,golang,ci/cd,redis,docker,microservices"
60,61,backend developer,outmarch,pune,1-2 yrs,not disclosed,"node.js,microservice architectures,continuous integration,azure,api development,postgresql,jwt,graphql"
61,62,backend developer,development logics solutions pvt. ltd.,shimla,6-11 yrs,not disclosed,"bpo,it services,backend,pdf,staffing,mysql,machine learning,digital marketing"
62,63,backend developer node,minfy,hyderabad,2-5 yrs,not disclosed,",rest,node.js,handlebars.js,ci/cd,aws,javascript,communication skills"
